StudentIndex,Name,YearOfStudy,CourseID1,CourseTitle1,BM25Score1,CourseID2,CourseTitle2,BM25Score2,CourseID3,CourseTitle3,BM25Score3,CourseID4,CourseTitle4,BM25Score4,CourseID5,CourseTitle5,BM25Score5
0,Student 1,Freshman,PHYS      6AL,INTRO EXPER PHYSICS,52.8927,PHYS    145L ,EXP RES IN ASTROPHY,51.0255,PHIL    599  ,PH D DISS PREP,49.1309,CMPSC   502  ,TEACHING COMPTR SCI,48.7886,PHYS    228  ,ATOMIC & MOLEC PHYS,48.5904
1,Student 2,Graduate,INT      86VC,PORTR & SELF IN AI,44.2768,MUS A   147S ,JAZZ ENSEMBLE,35.6901,ARTHI   192D ,UCSB INTERNSHIP,35.3052,FAMST   195I ,INTERNSHIP,35.2349,MUS A   249  ,PERCUSSION ENS,34.2094
2,Student 3,Junior,FAMST   106A ,CREW PRODUCTION ONE,39.7833,FR      599  ,DISS PREPARATION,33.8289,ARTHI     6F ,SUR ARCH & PLAN,31.8413,GREEK   598  ,MA RESEARCH & PREP,30.66,FAMST    95  ,INTERNSHIP,29.9075
3,Student 4,Graduate,C LIT   197H ,SENIOR HONORS SEM,42.6888,C LIT   197  ,JR/SR SEMINAR,42.5606,C LIT   196H ,HONORS RESEARCH,36.0067,EEMB    183  ,TEACHING ASSISTANCE,34.1946,C LIT   191  ,FANTASY/FANTASTIC,31.4822
4,Student 5,Graduate,CMPSC   111  ,INT COMPUTAT SCI,76.3735,C LIT   196H ,HONORS RESEARCH,74.9192,CMPSC    40  ,FOUNDATION COMP SCI,70.8665,CMPSC    99  ,INDEPENDENT STUDIES,70.144,CMPSC   180  ,COMPUTER GRAPHICS,70.144
5,Student 6,Junior,ECE     153A ,HRDW/SFTW INTERFACE,39.3778,MATRL   598  ,MS THESIS RSCH-PREP,38.6893,ED      360F ,ELD/SDAIE (MST),38.4654,GREEK   598  ,MA RESEARCH & PREP,38.3745,ARTHI     6F ,SUR ARCH & PLAN,37.3858
6,Student 7,Senior,PHYS      6AL,INTRO EXPER PHYSICS,39.4821,CMPSC   502  ,TEACHING COMPTR SCI,39.0928,AS AM   181  ,DESIGN FOR EQUITY,35.4985,FR      599  ,DISS PREPARATION,33.8289,PHYS     20AL,EXPERIMENTAL PHYS,33.4419
7,Student 8,Junior,ESM     440A ,STRATEGIC ENV COMM,37.7994,C LIT   196H ,HONORS RESEARCH,37.229,ENGL    106CW,CATALYST WRITING,34.9264,ENGL    115  ,MEDIEVAL LITERATURE,33.9973,AS AM   181  ,DESIGN FOR EQUITY,33.2985
8,Student 9,Senior,MATRL   200S ,INTRO STRUC & PHASE,63.83,MATRL   205  ,WIDE-BAND GAP MATRL,63.83,MATRL   207  ,MECH OF MATERIALS,63.83,MATRL   209A ,CRYSTALOG DIFFR FUN,60.7915,LING    272  ,LING COLLOQUIUM,56.257
9,Student 10,Junior,GLOBL     1  ,GLOBL HIS/CUL/IDEOL,39.2166,RENST   199  ,INDEPENDENT STUDIES,34.5948,C LIT   197H ,SENIOR HONORS SEM,33.9186,GLOBL   197E ,SPECIAL TOPICS,33.886,MUS      17  ,WORLD MUSIC,33.3324
